station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"Bidhannagar, Kolkata - WBPCB",Kolkata,West Bengal,31.0,Good,FULL,OZONE,31.0,18.33,30.0,11.25,16.25,1.3,1.25,31.0
"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,West Bengal,28.33,Good,FULL,PM2.5,28.33,28.33,28.0,18.75,21.25,1.35,2.0,18.0
"Nawapara SECL Colony, Chhal - CECB",Chhal,Chhattisgarh,52.96,Satisfactory,FULL,OZONE,52.96,43.33,45.0,25.0,6.25,1.05,0.5,52.96
"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,333.75,Very Poor,FULL,PM2.5,333.75,333.75,146.54,17.5,41.25,5.1,2.75,9.0
"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,220.8,Poor,FULL,PM2.5,220.8,220.8,115.52,11.25,31.25,2.25,1.25,20.0
"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,34.0,Good,FULL,OZONE,34.0,23.33,20.0,5.0,27.5,1.55,0.75,34.0
"Pan Bazaar, Guwahati - PCBA",Guwahati,Assam,46.25,Good,PARTIAL_HIGH_CONFIDENCE,SO2,46.25,,,46.25,2.5,0.4,0.25,13.0
"IITG, Guwahati - PCBA",Guwahati,Assam,42.5,Good,PARTIAL_HIGH_CONFIDENCE,SO2,42.5,16.67,,42.5,2.5,3.5,0.25,9.0
"SDM Office_Khagra, Kishanganj - BSPCB",Kishanganj,Bihar,59.17,Satisfactory,FULL,PM2.5,59.17,59.17,35.0,10.0,8.75,1.95,0.75,33.0
"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,45.0,Good,FULL,PM2.5,45.0,45.0,35.0,10.0,28.75,1.75,3.25,21.0
"Wazirpur, Delhi - DPCC",Delhi,Delhi,324.61,Very Poor,FULL,PM2.5,324.61,324.61,174.26,13.75,68.15,3.0,3.25,9.0
"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,345.93,Very Poor,FULL,PM2.5,345.93,345.93,124.1,23.75,20.0,2.9,3.5,20.0
"Kareemganj, Gaya - BSPCB",Gaya,Bihar,57.86,Satisfactory,FULL,PM10,57.86,43.33,57.86,52.23,3.75,3.65,0.25,40.0
"Rajiv Nagar, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,86.93,Satisfactory,FULL,PM2.5,86.93,86.93,59.82,13.75,23.75,1.7,1.0,19.0
"Urban Estate-II, Hisar - HSPCB",Hisar,Haryana,200.0,Moderate,FULL,PM2.5,200.0,200.0,102.32,31.25,30.0,0.45,2.5,56.88
"Sector-12, Karnal - HSPCB",Karnal,Haryana,65.7,Satisfactory,FULL,PM2.5,65.7,65.7,44.0,16.25,18.75,2.1,2.0,12.0
"Najafgarh, Delhi - DPCC",Delhi,Delhi,207.6,Poor,FULL,PM2.5,207.6,207.6,115.52,36.25,26.25,1.7,1.5,16.0
"DTU, Delhi - CPCB",Delhi,Delhi,318.52,Very Poor,FULL,PM2.5,318.52,318.52,115.52,38.75,27.5,1.3,2.0,26.0
"IGI Airport (T3), Delhi - IITM",Delhi,Delhi,150.5,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,150.5,150.5,126.74,,97.55,3.2,,87.26
"Talkatora Garden, Delhi - DPCC",Delhi,Delhi,263.7,Poor,FULL,PM2.5,263.7,263.7,102.98,2.5,22.5,3.75,0.5,18.0
"Khunmoh, Srinagar - JKPCC",Srinagar,Jammu and Kashmir,85.3,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,85.3,10.0,85.3,5.0,25.0,,,
"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,33.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,33.0,,,,,1.5,,33.0
